2014年第九批政治性有害出版物查堵目录,,
"序  号","书  名",出版机构
1,中共四大皇族：邓江胡习,内幕出版社（香港）
2,习近平稳不住上海,蓬勃出版社（香港）
3,王岐山挟习杀诸侯,文化艺术出版社（香港）
4,江泽民家族,哈耶出版社（香港）
5,北戴河恶斗,外参出版社（香港）
6,三峡喋血记,双丰出版社（香港）
7,周老虎落马内幕,飘萍书屋（香港）
8,周永康内部案卷,内幕出版社（香港）
9,强杀周永康,新视界传媒（香港）
10,徐才厚落网内幕,三角地出版社（香港）
11,徐才厚之后轮到谁,探索出版社（香港）
12,姐妹花睡到山西帮,飘萍书屋（香港）
13,调查高官贪腐的幕后,财大出版社（香港）
14,官场秘书和二奶,财大出版社（香港）
15,“母老虎”宋祖英,飘萍书屋（香港）
16,“六四”秘密,哈耶出版社（香港）
17,中国X档案——中共掩盖的“内部历史”,明镜出版社（香港）
18,国家禁区——解密时刻：周恩来、中国禁书、大饥,明镜出版社（香港）
19,罗瑞卿案,新世纪出版社（香港）
20,香港正变——2017普选的命运,外参出版社（香港）
21,盛世中国2013,牛津大学出版社（香港）
22,推销专政：当代中国的宣传思想工作,明镜出版社（香港）
