附件3:违法信息关键词（960组）,,
序号,违法有害信息关键词,信息类别
1,俊龙百美缘下载,淫秽色情
2,猎艳天下下载,淫秽色情
3,龙吟百美缘下载,淫秽色情
4,农夫导航最新地址,淫秽色情
5,一个色导航,淫秽色情
6,真人视频裸聊网,淫秽色情
7,美女裸聊网,淫秽色情
8,“淫叫”“小穴肉棒插进”.,淫秽色情
9,“套弄鸡巴”“浪叫”,淫秽色情
10,苍井空ed2k://,淫秽色情
11,高树玛利亚ed2k://,淫秽色情
12,美女裸体聊天室,淫秽色情
13,美女qq裸体聊天室,淫秽色情
14,成人裸聊聊天室,淫秽色情
15,午夜成人裸聊网,淫秽色情
16,少年大宝全本,淫秽色情
17,爱上师娘的床全文,淫秽色情
18,风月大陆全文下载,淫秽色情
19,一个色导航最新地址,淫秽色情
20,色友霸三国全文,淫秽色情
21,玲珑孽怨全本,淫秽色情
22,色导航最新地址,淫秽色情
23,潘金莲导航最新地址,淫秽色情
24,美女激情裸聊室,淫秽色情
25,大丑风流记全文阅读,淫秽色情
26,风流教皇全文阅读,淫秽色情
27,出售18P2P账号,淫秽色情
28,激情倮聊网,淫秽色情
29,一品楼VIP高级帐号,淫秽色情
30,美女裸聊室,淫秽色情
31,猎艳江湖梦txt全集,淫秽色情
32,风月大陆全文阅读,淫秽色情
33,"qvod 成 人电影",淫秽色情
34,QVOD伦理电影,淫秽色情
35,"成人 裸聊 色图",淫秽色情
36,美女激情裸聊视频,淫秽色情
37,qq裸聊视频,淫秽色情
38,qvod伦理情色,淫秽色情
39,收费裸聊,淫秽色情
40,裸体聊天室,淫秽色情
41,顶级激情裸聊,淫秽色情
42,"抽插 呻吟",淫秽色情
43,伦理电影qvod,淫秽色情
44,一本道ed2k,淫秽色情
45,最新地址一个色导航,淫秽色情
46,新一个色导航地址,淫秽色情
47,激情裸聊室,淫秽色情
48,裸聊聊天室,淫秽色情
49,艳香迷醉,淫秽色情
50,美女裸聊网站,淫秽色情
51,美女裸聊视频,淫秽色情
52,美女裸聊视频室,淫秽色情
53,出售日本成人DVD,淫秽色情
54,美女脱衣激情裸聊室,淫秽色情
55,X卧底官方网站,手机窃听软件
56,X卧底软件官网,手机窃听软件
57,X卧底官网,手机窃听软件
58,手机窃听卡,手机窃听软件
59,手机监听卡,手机窃听软件
60,手机窃听器购买,手机窃听软件
61,手机窃听器使用,手机窃听软件
62,手机窃听器价格,手机窃听软件
63,手机监听器,手机窃听软件
64,手机窃听智能卡,手机窃听软件
65,"Super SIM",手机窃听软件
66,一卡多号,手机窃听软件
67,手机超级SIM卡,手机窃听软件
68,手机复制卡,手机窃听软件
69,出售手机监听卡,手机窃听软件
70,手机监控器材有限公司,手机窃听软件
71,手机窃听器公司,手机窃听软件
72,手机监控,手机窃听软件
73,手机智能窃听卡,手机窃听软件
74,复制手机卡,手机窃听软件
75,自慰器专卖,涉性用品药品
76,出售催情迷幻药,涉性用品药品
77,自慰器供应,涉性用品药品
78,供应香水型迷奸药,涉性用品药品
79,批发蒙汗药迷奸药,涉性用品药品
80,批发香水型迷奸药,涉性用品药品
81,批发蒙汗药,涉性用品药品
82,批发迷奸药,涉性用品药品
83,速效迷奸药专卖,涉性用品药品
84,出售催情药,涉性用品药品
85,出售三唑仑蒙汗药,涉性用品药品
86,专门出售失身粉,涉性用品药品
87,迷奸药三唑仑专卖,涉性用品药品
88,供应少女迷情药,涉性用品药品
89,出售苍蝇水迷奸药,涉性用品药品
90,出售苍蝇水三唑仑,涉性用品药品
91,出售少女迷情药,涉性用品药品
92,出售三唑仑失身粉,涉性用品药品
