2014年第十二批政治性有害出版物查堵目录,,
"序  号","书  名",出版机构
1,魅力领袖习近平,寰宇出版公司（香港）
2,习近平家族,哈耶出版社（香港）
3,习近平的陷阱,哈耶出版社（香港）
4,令计划陷害习近平,倚天书局（香港）
5,"习近平后发制人 避免香港流血",环球实业（香港）公司
6,习近平改革能否成功,名人出版社（香港）
7,王岐山上海打虎记,飘萍书屋（香港）
8,总理争夺战,财大出版社（香港）
9,政治局两山战争,飙笛出版社（香港）
10,七常委分裂,探索出版社（香港）
11,十九大争夺战,环球实业（香港）公司
12,太子党大灭平民官,外参出版社（香港）
13,中央军委大洗牌,新视界传媒（香港）
14,总参少壮派兵变,三角地出版公司（香港）
15,中南海四十五家大老虎,芦笛出版社（香港）
16,周永康认罪救子,寰宇出版公司（香港）
17,沈冰自述：我和周永康的故事,飙笛出版社（香港）
18,逮捕令计划的密令,寰宇出版公司（香港）
19,令计划累死胡锦涛,新视界传媒（香港）
20,北京暗战,南风窗出版社（香港）
21,谁在救中国,内幕出版社（香港）
22,中国无法避免的危机,财大出版社（香港）
23,中国首骗陈光标,博闻出版社（香港）
24,中国宪政转型,明镜出版社（香港）
25,乌托邦的幻灭——延安一代士林,新锐文创（台湾）
26,"行销独裁（Marketing Dictatorship）(英文版)","Rowman&Littlefield Publishers"
