第十批政治有害性出版物,,
"序 号","书 名",出版机构
1,习近平维稳杀机内幕,环宇出版社（香港）
2,习近平PK江泽民,内幕出版社（香港）
3,元老联合逼宫习近平,芦迪出版社（香港）
4,习近平最后豪赌,文化艺术出版社（香港）
5,太上皇——习近平与江泽民胡锦涛,内幕出版社（香港）
6,72511见证公民抗争,进一步多媒体有限公司
7,本土、民主、反共——黄毓民政论集,普罗政治（香港）
8,公民抗命与占领中环——香港基督徒的信仰省思,雅歌出版社（香港）
9,对话X占领,明报出版社有限公司（香港）
10,"占领中环 和平抗争心战室",天窗出版社（香港）
11,法治@教育,次文化堂有限公司（香港）
12,公民抗命,进一步多媒体有限公司（香港）
13,茉莉花开——中东革命与民主路,红出版社（圆桌文化）（香港）
14,颜色革命,独立作家（台湾）
15,勇闯埃及——贫民窟、性工作者、茉莉花革命,我们出版（台湾）
16,茉莉花革命浪潮下的新世纪民主化课题与前景,五南图书出版社股份有限公司（台湾）
17,橘色革命,商周出版（台湾）
18,风雨灵魂——台湾的白色恐怖与红色革命,利文出版社（香港）
19,王岐山陷阱,新视界传媒（香港）
20,红朝第一御案：江泽民对胡锦涛发动政变之内情,新纪元周刊出版社有限公司（香港）
21,胡锦涛勾结周永康,飘萍书屋（香港）
22,合围大老虎,内幕出版社（香港）
23,周永康朋党,哈耶出版社（香港）
24,反贪绞杀,内幕出版社（香港）
25,北戴河大摊牌,南风窗出版社（香港）
26,落网锁定最高层,环宇出版社（香港）
27,中共流血政变,探索出版社（香港）
28,第一夫人PK第二夫人,飘萍书屋（香港）
29,令计划卖虎求生,广度书局（香港）
30,郭伯雄八一建军节政变曝光,倚天书局（香港）
31,公共情妇郭美美,环球实业（香港）公司
32,国共血史新翻案,夏菲尔出版有限公司（香港）
33,十世班禅大师七万言书,亚太政治哲学文化出版社有限公司（台湾）
34,阴道昏迷：马三家女子劳教所的酷刑幸存者证词,1908有限公司（香港）
35,立此存照：500位中国人的心灵记录（第二卷）（上下册）,溯源书社（香港）
