附件1：违法网站域名（13480个）,,,,
序号,网站名称,URL,网站IP地址,类别
1,pcp气枪|仿真气枪,http://0.lanyuxuan.com,111.68.8.76,涉枪
2,气狗专业服务中心,http://01928.info,50.6.127.252,涉枪
3,仿真枪专卖网,http://10407.info,173.83.106.2,涉枪
4,气枪专卖网,http://111zaxsqaws111.com,72.11.151.61,涉枪
5,仿真枪专卖店,http://1122aa.info,76.73.86.66,涉枪
6,"仿真枪专卖网 ",http://12069.info,173.83.106.2,涉枪
7,"野外打猎工具供应商 ",http://1684.us,173.252.204.105,涉枪
8,"仿真枪专卖店 ",http://173.83.106.74,173.83.106.74,涉枪
9,气枪仿真枪汽枪,http://173.83.187.133,173.83.187.133,涉枪
10,气枪销售,http://180qg.com,183.90.189.38,涉枪
11,"仿真枪专卖店 ",http://19779.info,66.116.144.125,涉枪
12,"气枪高压气枪 ",http://1s177.com,174.139.42.234,涉枪
13,"仿真枪专卖网 ",http://20014.info,50.6.206.2,涉枪
14,"名枪世家 ",http://2006qiang.info,50.6.155.143,涉枪
15,气枪专卖网,http://222zaxsqaws222.com,72.11.151.57,涉枪
16,"仿真枪专卖店 ",http://29779.info,66.116.144.124,涉枪
17,上海工字气枪指定销售点,http://2ge3.com,110.34.128.156,涉枪
18,气枪专卖网,http://333zaxsqaws333.com,72.11.151.59,涉枪
19,上海工字气枪,http://33zaxsqaws33.com,72.11.151.13,涉枪
20,"金属仿真枪专卖店 ",http://34009.info,173.83.128.2,涉枪
21,"气枪专卖网 ",http://37219191.com,174.139.28.214,涉枪
22,汽枪网,http://3f1f.net,69.197.165.222,涉枪
23,"气枪高压气枪 
",http://3i0tu8.asxxsw.com,98.126.58.100,涉枪
24,"美国秃鹰气枪 
",http://47627.com,50.6.14.80,涉枪
25,"猎友狩猎装备中心 ",http://52qigou.com,49.247.252.148,涉枪
26,PCP淘宝交易安全放心,http://52yjh.com,113.10.149.45,涉枪
27,"枪仿真枪巴雷特 
",http://538vm4.hmdg57.com,98.126.58.99,涉枪
28,气枪专卖网,http://555zaxsqaws555.com,72.11.151.53,涉枪
29,"仿真枪-仿真步枪 
",http://5588aa.info,76.73.86.148,涉枪
30,金属枪专卖,http://55niu.info,50.6.204.46,涉枪
31,上海工字气枪专卖网,http://55zaxsqaws55.com,72.11.151.13,涉枪
32,气枪专卖网,http://5ggk8.info,204.152.214.5,涉枪
33,"气枪专卖店 ",http://60kk.info,173.252.251.21,涉枪
34,仿真枪大全,http://62229.info,50.6.221.2,涉枪
35,精品商城,http://666jpw.com,76.73.116.132,涉枪
36,汽狗帮,http://67775.info,50.6.152.193,涉枪
37,专业PCP配件,http://678jz.com,113.10.149.45,涉枪
38,"气枪货到付款 ",http://68513.info,50.6.221.2,涉枪
39,"鸿达枪模网 ",http://723628.com,50.6.178.102,涉枪
40,"气枪货到付款 ",http://77189.info,97.74.215.166,涉枪
41,"金属仿真枪专卖店 ",http://77468.info,50.6.188.78,涉枪
42,2011气枪收藏网,"http://777zaxsqaws777.com ",72.11.151.60,涉枪
43,"汽狗销售网 ",http://888283.com,98.126.19.91,涉枪
44,就要洗发水卖气枪,http://91xfs.tk,173.201.166.108,涉枪
45,气狗专卖网,http://941xie.com,204.45.75.246,涉枪
46,"诚信汽狗网 ",http://97084.com,67.228.200.135,涉枪
47,气枪货到付款,http://999qiqiang999.com,173.192.154.31,涉枪
48,气枪专卖网,http://999zaxsqaws999.com,72.11.151.59,涉枪
49,"新北模型 ",http://9-cs.com,173.252.211.93,涉枪
50,"高压气枪_气枪支付宝 
",http://aaa.netairgun.com,183.90.185.33,涉枪
51,iHD高清家庭影院论坛,http://aiterchina.com,173.201.118.30,涉枪
52,"仿真枪专卖信息 ",http://aobdproducts.com,50.6.248.174,涉枪
53,"中国汽狗商城 (2)",http://apm8.com,173.201.204.88,涉枪
54,高压气枪,http://aqw1.981-aho123.com,64.32.22.228,涉枪
55,"气枪货到付款淘宝更安全 ",http://aqw2.981-aho123.com,64.32.22.228,涉枪
56,"瞄准镜|秃鹰瞄准镜| 
",http://army163.cn,174.139.114.163,涉枪
57,八一气枪网,http://atsw168.com,98.126.33.20,涉枪
58,气枪专卖网,http://baiduwanqiang.info,173.201.159.212,涉枪
59,"出售气枪 出售手枪 出售仿真枪 买气枪 ",http://bbs.qiang168.info,173.254.198.239,涉枪
60,气狗，铅弹，气枪,http://caicai33.com,112.121.183.138,涉枪
61,气枪汽狗专卖货到付款,http://caynee.info,173.208.143.150,涉枪
62,"长沙气枪专卖 ",http://changshaqiqiang.in,173.252.196.190,涉枪
63,"成都气枪 ",http://chengduqiqiang.org,173.252.224.135,涉枪
64,"气枪论坛 ",http://chopto.com,98.126.70.212,涉枪
65,"汽狗哥汽狗专卖 ",http://coovee123.info,208.110.81.115,涉枪
66,"仿真枪专卖店 ",http://csmonitorz.info,97.74.215.155,涉枪
67,"气枪气枪专卖网 ",http://csqiqiangw.com,76.164.231.228,涉枪
68,高压气枪专卖网,http://cvdsfvg.info,72.11.151.53,涉枪
69,"诚信气狗专卖 ",http://cx79w.com,98.126.14.195,涉枪
70,大兵汽狗销售,http://dabing888.com,184.168.162.59,涉枪
71,"打鸟汽狗专卖 ",http://dayoo999.info,208.110.81.123,涉枪
72,香港大宇气枪专卖店,http://dayu1000.com,216.24.194.100,涉枪
73,"气枪简介与常识 ",http://delafx.info,209.25.195.135,涉枪
74,"上海工字气枪指定销售点 ",http://dertg.com,183.90.185.33,涉枪
75,"德阳气枪专卖网 ",http://deyang.qiqiang2.com,97.74.179.1,涉枪
76,猎枪专卖,http://df8c.com,173.252.204.105,涉枪
77,"进口气枪,西班牙cfx",http://djkhg.dertg.com,183.90.185.33,涉枪
78,高压气枪专卖,http://dl8008.com,74.82.169.19,涉枪
79,中国东州第一气枪网,http://dongzhouwood.com,173.83.201.2,涉枪
80,男人社区论坛,http://doublexadv.org,211.76.139.249,涉枪
81,气枪货到付款,http://dzcde1.dzdve.com,72.11.151.55,涉枪
82,"中华狩猎论坛 (2)",http://dzhhunt.com,182.237.1.146,涉枪
83,仿真枪专卖店,http://economistz.info,184.168.152.47,涉枪
84,"气枪货到付款 ",http://erxin.info,97.74.215.166,涉枪
85,"广州汽枪专卖 
",http://ethfby.awrcj.net,183.90.185.33,涉枪
86,仿真枪-仿真枪专卖店,http://fangzhenq.info,76.73.86.69,涉枪
87,"金属仿真枪,仿真气枪",http://fang-zhen-qiang.info,114.142.153.24,涉枪
88,户外狩猎用品制造厂,http://fc8f.com,173.252.204.105,涉枪
89,气枪货到付款,http://fc999.info,97.74.215.166,涉枪
90,"广州三箭气枪配件 
",http://fdhfd6ee.com,64.32.22.243,涉枪
91,"工字牌系列气枪 
",http://fejjw.vktmn.info,184.82.68.144,涉枪
92,气枪简介与常识,http://fvzmpk.info,209.25.195.135,涉枪
93,"气枪汽狗 ",http://fzqgmx.com,174.139.203.140,涉枪
94,仿真枪专卖,http://fzqzj888.com,184.168.212.251,涉枪
95,"仿真枪,仿真枪专卖店 
",http://fzqzm.com,184.168.212.251,涉枪
96,潮州哪里有气枪,http://gfd.rdxrgb.com,72.11.151.56,涉枪
97,"气枪货到付款 ",http://gn88.info,97.74.215.166,涉枪
98,"卖枪网 ",http://gouqiangwang.com,66.79.169.65,涉枪
99,"长期出售各种气枪 ",http://gtdv.info,72.11.151.53,涉枪
100,"气枪专卖 ",http://gun136.com,123.254.107.218,涉枪
101,"气枪专卖网 ",http://gun1888.com,173.231.20.108,涉枪
102,"中国工字气枪销售中心 (2)",http://gy163xsw.com,98.126.198.210,涉枪
103,"广州三箭牌气枪专卖网 
",http://gzsjqq.webng.com,38.100.19.105,涉枪
104,"上海工字气枪指定销售点 ",http://gzzm8.com,174.139.107.236,涉枪
105,工字牌专卖,http://hao33222.com,174.139.75.11,涉枪
106,气枪货到付款,http://hfrvd.info,72.11.151.54,涉枪
107,重庆气枪货到付款,http://hgjh.qiqi333.com,72.11.151.55,涉枪
108,"仿真汽枪 ",http://hhh.netairgun.com,183.90.185.33,涉枪
109,仿真气枪专卖店,http://hmwerkji.info,72.11.151.55,涉枪
110,工字牌专卖店,http://hqigouy.com,173.201.204.88,涉枪
111,"气枪货到付款 ",http://huaun.info,97.74.215.166,涉枪
112,"气枪简介与常识 ",http://hxghxd.info,183.90.185.33,涉枪
