附件2：违法信息关键词（1385组）,,
序号,违法有害信息关键词,信息类别
1,哪里买仿真枪,涉枪违法信息
2,哪里买汽狗,涉枪违法信息
3,秃鹰气枪销售,涉枪违法信息
4,出售猎枪气枪,涉枪违法信息
5,钢珠狗,涉枪违法信息
6,"钢珠长狗 ",涉枪违法信息
7,出售钢珠狗,涉枪违法信息
8,"WG 702左轮钢珠狗",涉枪违法信息
9,钢珠左轮狗,涉枪违法信息
10,钢珠猎狗,涉枪违法信息
11,钢珠秃鹰,涉枪违法信息
12,供应钢珠气枪,涉枪违法信息
13,精品气枪出售,涉枪违法信息
14,"手 枪气枪 猎枪",涉枪违法信息
15,防身武器出售,涉枪违法信息
16,麻醉枪手枪气枪,涉枪违法信息
17,工字牌气枪指定销,涉枪违法信息
18,"上海市工字气枪 出售",涉枪违法信息
19,"西班牙气枪cfx ",涉枪违法信息
20,气枪价格，购买气枪,涉枪违法信息
21,进口气枪秃鹰,涉枪违法信息
22,最新销售秃鹰气,涉枪违法信息
23,枪指定销售网,涉枪违法信息
24,仿真气枪，诚信经营,涉枪违法信息
25,仿真枪诚信经营,涉枪违法信息
26,最新销售秃鹰,涉枪违法信息
27,美国秃鹰销售,涉枪违法信息
28,进口原装秃鹰,涉枪违法信息
29,出售单管猎,涉枪违法信息
30,"枪/猎@ 出售",涉枪违法信息
31,"天津哪里有猎 枪",涉枪违法信息
32,专卖双管猎,涉枪违法信息
33,最新销售秃鹰高压,涉枪违法信息
34,出售进口PCP,涉枪违法信息
35,哪里有雷管买,涉爆违法信息
36,哪里有炸药买,涉爆违法信息
37,"炸药 看货付款",涉爆违法信息
38,"雷管 看货付款",涉爆违法信息
39,哪里弄炸药,涉爆违法信息
40,雷管专卖,涉爆违法信息
41,炸药专卖,涉爆违法信息
42,tnt哪里买,涉爆违法信息
43,黄色炸药出售,涉爆违法信息
44,tnt出售,涉爆违法信息
45,哪里有雷管卖,涉爆违法信息
46,哪里有炸药卖,涉爆违法信息
47,雷管炸药出售,涉爆违法信息
48,"雷管炸药 看货付款",涉爆违法信息
49,"炸药 当面交易",涉爆违法信息
50,"雷管 当面交易",涉爆违法信息
51,"炸药 专卖",涉爆违法信息
52,"tnt 出售",涉爆违法信息
53,"供应黄色炸药 ",涉爆违法信息
54,tnt的制作,涉爆违法信息
55,哪里有手雷卖,涉爆违法信息
56,哪里有黑索金卖,涉爆违法信息
57,"雷管出售 QQ",涉爆违法信息
58,"手雷 看货付款",涉爆违法信息
59,"炸药 当面交易QQ",涉爆违法信息
60,"手雷 当面交易",涉爆违法信息
61,"手雷 专卖",涉爆违法信息
62,"手雷 出售",涉爆违法信息
63,供应黑索金,涉爆违法信息
64,黑索金的制作,涉爆违法信息
65,哪里有火药卖,涉爆违法信息
66,哪里有黑火药卖,涉爆违法信息
67,"火药 看货付款",涉爆违法信息
68,"火药 当面交易QQ",涉爆违法信息
69,"火药 当面交易",涉爆违法信息
70,"火药 专卖",涉爆违法信息
71,"火药 出售",涉爆违法信息
72,供应黑火药,涉爆违法信息
73,哪里有硝酸胺炸药卖,涉爆违法信息
74,供应硝酸胺炸药,涉爆违法信息
75,"硝酸胺炸药出售 QQ",涉爆违法信息
76,"硝酸胺炸药 看货付款",涉爆违法信息
77,"硝酸胺炸药 当面交易QQ",涉爆违法信息
78,"硝酸胺炸药 货到付款",涉爆违法信息
79,"硝酸胺炸药 专卖",涉爆违法信息
80,"硝酸胺炸药 出售",涉爆违法信息
81,硝酸胺炸药制作方法,涉爆违法信息
82,哪里有高爆炸药卖,涉爆违法信息
83,供应高爆炸药,涉爆违法信息
84,"高爆炸药出售 QQ",涉爆违法信息
85,"高爆炸药 看货付款",涉爆违法信息
86,"高爆炸药 当面交易QQ",涉爆违法信息
87,"高爆炸药 货到付款",涉爆违法信息
88,"高爆炸药 专卖",涉爆违法信息
89,"高爆炸药 出售",涉爆违法信息
90,高爆炸药制作方法,涉爆违法信息
91,高爆炸药的制作,涉爆违法信息
92,硝酸胺炸药的制作,涉爆违法信息
93,弓弩狩猎专卖,麻醉弩箭
94,弩专卖,麻醉弩箭
95,两用狙击弩专卖,麻醉弩箭
96,折叠军用弓弩专卖网,麻醉弩箭
97,钢珠弩专卖,麻醉弩箭
98,狩猎弓弩报价,麻醉弩箭
99,弓弩直营网,麻醉弩箭
100,军用钢珠弩,麻醉弩箭
101,钢珠手弩,麻醉弩箭
102,弓弩价格,麻醉弩箭
103,东北弓弩价格,麻醉弩箭
104,弓弩专买网,麻醉弩箭
105,猎豹m4钢珠专用弩,麻醉弩箭
106,弓弩的价格,麻醉弩箭
107,连发钢珠弩,麻醉弩箭
108,弓弩狩猎交流,麻醉弩箭
109,美国进口军用弩,麻醉弩箭
110,韩国金狐手弩专卖,麻醉弩箭
111,mp9军用反恐狙击弩,麻醉弩箭
112,狩猎人弓弩,麻醉弩箭
113,弓弩配件,麻醉弩箭
114,眼镜蛇弓弩,麻醉弩箭
115,眼镜蛇弓弩配件,麻醉弩箭
116,弓弩货到付款,麻醉弩箭
117,进口弓弩价格,麻醉弩箭
118,眼镜蛇yjs中型弓弩,麻醉弩箭
119,中国弓弩价格,麻醉弩箭
120,弓弩货到,麻醉弩箭
121,弓弩购买价格,麻醉弩箭
122,河南弓弩货到付款,麻醉弩箭
123,弓弩视频,麻醉弩箭
124,专门销售各种手弩,麻醉弩箭
125,眼镜蛇弓弩视频,麻醉弩箭
126,弓弩购买,麻醉弩箭
127,弓弩买卖网,麻醉弩箭
128,闲人弓弩坊,麻醉弩箭
129,阵风户外弓弩,麻醉弩箭
130,猪八戒弓弩,麻醉弩箭
131,秦氏弓弩专营,麻醉弩箭
132,专门批发秦氏弓弩,麻醉弩箭
133,美国军用进口弓弩,麻醉弩箭
134,力斯曼弓弩,麻醉弩箭
135,秦氏弓弩,麻醉弩箭
136,殷氏弓弩,麻醉弩箭
137,弩的图纸,麻醉弩箭
138,弩的制作图纸,麻醉弩箭
139,弩的制作方法,麻醉弩箭
140,弩图纸,麻醉弩箭
141,手弩图纸,麻醉弩箭
142,弩的制作方法和图纸,麻醉弩箭
143,弩的最简制作方法,麻醉弩箭
144,弓弩制作方法,麻醉弩箭
145,"民族弩的制作方法 ",麻醉弩箭
146,自制弩机方法,麻醉弩箭
147,弩机的制作方法,麻醉弩箭
148,弩机制作图纸,麻醉弩箭
149,弩机图纸,麻醉弩箭
150,自制弩机,麻醉弩箭
151,手弩制作,麻醉弩箭
152,怎样制作弩,麻醉弩箭
153,狩猎者弓弩,麻醉弩箭
154,"弓驽专卖 价格",麻醉弩箭
155,打狗麻醉箭,麻醉弩箭
156,大量批发供应弓驽,麻醉弩箭
157,麻醉箭批发,麻醉弩箭
158,弓驽货到付款,麻醉弩箭
159,中国神弩网,麻醉弩箭
160,专卖麻醉驽箭,麻醉弩箭
161,强效麻醉箭,麻醉弩箭
162,中国神弩,麻醉弩箭
163,麻醉箭货到付款,麻醉弩箭
164,特效麻醉箭,麻醉弩箭
165,兽用麻醉箭,麻醉弩箭
166,麻醉箭弓弩批发,麻醉弩箭
167,弓弩猎箭型号,麻醉弩箭
168,便携式弓弩,麻醉弩箭
169,供应狙击钢珠专用弩,麻醉弩箭
170,钢珠专用弩,麻醉弩箭
171,供应赵氏弓驽,麻醉弩箭
172,弓弩扳机图片,麻醉弩箭
173,特种部队专用弩,麻醉弩箭
174,木制弓弩视频,麻醉弩箭
175,专卖驽弓,麻醉弩箭
176,弓弩打猎视频,麻醉弩箭
177,弓弩狩猎视频,麻醉弩箭
