违法网站域名（10182个）,,,,,,,,
序号,网站名称,URL,网站IP地址,类别,,,,
1,浙江棋牌游戏,http://www.9hyx.com,58.221.246.57,赌博,,,,
2,http://www.pkw888.com/,http://www.pkw888.com,117.41.181.102,赌博,,,,
3,倾城网络,http://www.qingcheng.me,60.169.8.26,赌博,,,,
4,永胜彩,http://ys.2100k.org:88,117.41.174.159,赌博,,,,
5,香港赛马会六合彩公司,http://www.231588.com,222.87.146.134,赌博,,,,
6,名堂吧,http://www.mingtang8.com,218.92.0.43,赌博,,,,
7,,http://www.pkw888.com,117.41.181.102,赌博,,,,
8,雅歌时代,http://www.yg1039.com,58.64.155.141,非法网络公关,,,,
9,拓之林网络营销顾问,http://www.to-dream.com,123.196.117.183,非法网络公关,,,,
10,西安曙光时代网络营销有限公司,http://www.shuguangsd.com,202.130.85.251,非法网络公关,,,,
11,中华删帖网,http://www.shannn.com,173.252.212.238,非法网络公关,,,,
12,华文商业电讯,http://www.hwwire.com,123.108.109.155,非法网络公关,,,,
13,北京金伦艺点文化传播有限公司,http://www.g-yd.com,182.50.4.100,非法网络公关,,,,
14,深圳网络推广公司,http://www.dudu.com.cn,180.178.52.115,非法网络公关,,,,
15,雅歌时代,http://www.brandyg.com,58.64.155.141,非法网络公关,,,,
16,北京公关公司,http://www.bjst.info,183.90.186.56,非法网络公关,,,,
17,启点网络公关,http://www.bj-sem.com,206.188.192.78,非法网络公关,,,,
18,雷利公关顾问,http://bjst.info,183.90.186.56,非法网络公关,,,,
19,军刀铺,http://jundaopu.org,122.224.11.169,管制刀具,,,,
20,刀剑批发网,http://jundaotang.com,122.224.11.169,管制刀具,,,,
21,大哥军刀网,http://www.baikuu.com,218.2.31.196,管制刀具,,,,
22,大哥军刀网,http://www.daagee.com,218.2.31.196,管制刀具,,,,
23,罪雨户外,http://www.heiyuhuwai.com,216.24.200.136,管制刀具,,,,
24,自由魔方军刀网,http://i3dao.com,184.168.196.1,管制刀具,,,,
25,自由兵刀坊,http://www.zyb168.com,173.236.234.120,管制刀具,,,,
26,装备仓库,http://www.zb-ck.com,98.126.133.92,管制刀具,,,,
27,中华刀剑网,http://www.57180.com,174.139.143.10,管制刀具,,,,
28,中国阳江刀网,http://www.djpfw.com,113.10.131.2,管制刀具,,,,
29,中国阳江刀具直销网,http://www.cnkifs.com,66.147.242.153,管制刀具,,,,
30,中国阳江刀具世界,http://www.dao238.com,218.213.91.37,管制刀具,,,,
31,中国阳江刀具世界,http://dao238.com,218.213.91.37,管制刀具,,,,
32,中国阳江刀具批发,http://yjdj1688.cn.alibaba.com,205.204.112.1,管制刀具,,,,
33,中国阳江刀城,http://www.31knife.com,218.213.91.38,管制刀具,,,,
34,中国冷兵斋,http://yjshopping.net,111.92.234.153,管制刀具,,,,
35,中国冷兵斋,http://www.yjshopping.net,111.92.234.153,管制刀具,,,,
36,中国军用刀具网,http://94market.com,173.193.18.234,管制刀具,,,,
